x,y,z
0.452035,0.451368,-0.428553
0.451593,0.453276,-0.428322
0.44977,0.454459,-0.429242
0.449052,0.454433,-0.429026
0.44904,0.453551,-0.428939
0.448467,0.452629,-0.430071
0.44615,0.451204,-0.432154
0.445277,0.450113,-0.432463
0.444805,0.449745,-0.432607
0.44325,0.449789,-0.43291
0.441771,0.448287,-0.434075
0.441334,0.447337,-0.435076
0.440666,0.44729,-0.436552
0.440768,0.446496,-0.437216
0.441344,0.445758,-0.437958
0.438453,0.445055,-0.439681
0.434887,0.445986,-0.440738
0.436326,0.446209,-0.439502
0.440619,0.442176,-0.438607
0.438198,0.438626,-0.441849
0.434069,0.4371,-0.445001
0.43252,0.436922,-0.446183
0.434061,0.4372,-0.44463
0.441089,0.434868,-0.443584
0.440997,0.430865,-0.447405
0.438104,0.428379,-0.449244
0.4382,0.428673,-0.449316
0.439321,0.430051,-0.448914
0.441247,0.429746,-0.449293
0.439633,0.427674,-0.45246
0.434517,0.427488,-0.455666
0.430458,0.429622,-0.455655
0.431312,0.430474,-0.453165
0.432921,0.428028,-0.453182
0.434837,0.423828,-0.453965
0.440331,0.417879,-0.453382
0.448051,0.41237,-0.451691
0.458526,0.406948,-0.448583
0.4678,0.40391,-0.445473
0.424518,0.450797,-0.436184
0.46654,0.408454,-0.442092
0.461687,0.407673,-0.445717
0.454135,0.407599,-0.449361
0.454093,0.414297,-0.44942
0.453186,0.416741,-0.448123
0.454946,0.416172,-0.448419
0.454843,0.413632,-0.451309
0.45232,0.412631,-0.453519
0.447256,0.412817,-0.455145
0.440396,0.412749,-0.457012
0.437583,0.413143,-0.456629
0.439708,0.41331,-0.456543
0.441049,0.411938,-0.458664
0.441473,0.409234,-0.459945
0.441033,0.40848,-0.458758
0.442002,0.410096,-0.456933
0.445772,0.411735,-0.455965
0.450087,0.412605,-0.457368
0.451908,0.412359,-0.458366
0.452844,0.41244,-0.456342
0.45083,0.413583,-0.45445
0.449197,0.415922,-0.453478
0.451328,0.41719,-0.452436
0.454864,0.416055,-0.45125
0.457901,0.414199,-0.450654
0.458365,0.412992,-0.451573
0.456952,0.412302,-0.452226
0.455437,0.412495,-0.452641
0.453558,0.412847,-0.453428
0.453234,0.413447,-0.453093
0.454469,0.413711,-0.452216
0.455308,0.414438,-0.450934
0.454682,0.415312,-0.449706
0.453525,0.416813,-0.44892
0.453435,0.417438,-0.449492
0.452351,0.417003,-0.451079
0.451711,0.417207,-0.451077
0.450245,0.41728,-0.450944
0.446914,0.418169,-0.451466
0.44445,0.419977,-0.451228
0.446361,0.421072,-0.449634
0.45112,0.420305,-0.448549
0.454256,0.417945,-0.449692
0.45298,0.415931,-0.452939
0.449994,0.415256,-0.455116
0.449917,0.415041,-0.455432
0.450824,0.413607,-0.457393
0.449244,0.41309,-0.460473
0.447007,0.414231,-0.461089
0.448212,0.415934,-0.458341
0.452972,0.416202,-0.456294
0.455514,0.415431,-0.458268
0.454698,0.414732,-0.460279
0.455485,0.415559,-0.459533
0.4558,0.414663,-0.459727
0.453992,0.41293,-0.460213
0.454258,0.413493,-0.458576
0.455475,0.41468,-0.457864
0.455277,0.413824,-0.458942
0.454551,0.413769,-0.458844
0.456054,0.415768,-0.456337
0.458473,0.416072,-0.454884
0.45991,0.414266,-0.454961
0.463159,0.413532,-0.453732
0.470728,0.411238,-0.452176
0.474192,0.405928,-0.453407
0.469991,0.403906,-0.453431
0.469578,0.408258,-0.451098
