x,y,z
-0.472878,-0.490648,-0.47662
-0.472182,-0.491329,-0.476685
-0.469413,-0.490249,-0.478374
-0.464656,-0.485986,-0.48121
-0.457856,-0.47784,-0.484432
-0.444948,-0.468643,-0.487111
-0.420746,-0.465535,-0.481988
-0.397045,-0.477938,-0.467113
-0.375119,-0.501938,-0.443788
-0.354287,-0.535214,-0.407273
-0.339297,-0.576824,-0.36602
-0.330892,-0.618669,-0.332464
-0.328268,-0.661946,-0.311671
-0.323981,-0.70526,-0.296838
-0.311541,-0.745991,-0.288557
-0.293055,-0.785725,-0.281216
-0.264132,-0.827177,-0.275978
-0.220015,-0.877249,-0.273515
-0.161951,-0.92886,-0.273164
-0.099172,-0.97693,-0.27198
-0.036344,-1.023687,-0.270028
0.024385,-1.069525,-0.270334
0.079624,-1.105716,-0.274128
0.131878,-1.133126,-0.282212
0.184266,-1.154635,-0.294133
0.241254,-1.168222,-0.304269
0.309498,-1.176664,-0.303452
0.387773,-1.178434,-0.293465
0.471492,-1.172936,-0.278855
0.544593,-1.154621,-0.261573
0.626433,-1.130971,-0.257988
0.716034,-1.100803,-0.264764
0.816249,-1.066598,-0.272772
0.919655,-1.028568,-0.276851
1.021348,-0.982286,-0.268201
1.110413,-0.936141,-0.252449
1.196907,-0.88696,-0.244465
1.28667,-0.832742,-0.243336
1.372356,-0.776478,-0.246425
1.453131,-0.713547,-0.247955
1.534321,-0.642692,-0.241991
1.615887,-0.566304,-0.231366
1.694571,-0.488133,-0.224486
1.781415,-0.406079,-0.232144
1.869748,-0.316083,-0.242337
1.953553,-0.225418,-0.241277
2.035535,-0.125301,-0.233238
2.107449,-0.018818,-0.229209
2.17153,0.094933,-0.233954
2.226497,0.21291,-0.240425
2.269834,0.330714,-0.242924
2.30917,0.446746,-0.236603
2.346074,0.564919,-0.23037
2.383699,0.682635,-0.233075
2.421979,0.807291,-0.245627
2.458678,0.932606,-0.25057
2.490097,1.060422,-0.243941
2.510906,1.191012,-0.236349
2.525784,1.320035,-0.235675
2.53782,1.448384,-0.23742
2.540584,1.571188,-0.232293
2.54325,1.69007,-0.221219
2.541509,1.805251,-0.214468
2.545274,1.926329,-0.215842
2.549783,2.045876,-0.222261
2.553093,2.16636,-0.224592
2.551767,2.286133,-0.216776
2.54241,2.404644,-0.210396
2.529233,2.525172,-0.212745
2.509932,2.644278,-0.221073
2.480101,2.762342,-0.227532
2.438533,2.876101,-0.226115
2.400074,2.989305,-0.222795
2.366656,3.107146,-0.225745
2.331707,3.228476,-0.234969
2.298333,3.344503,-0.245274
2.255897,3.456215,-0.24828
2.208875,3.56786,-0.245538
2.151715,3.682103,-0.248183
2.088193,3.788119,-0.254116
2.017705,3.893213,-0.255804
1.943719,3.998565,-0.245696
1.871661,4.091281,-0.234549
1.79638,4.185721,-0.238194
1.710198,4.284322,-0.253511
1.618637,4.370816,-0.264466
1.527257,4.451447,-0.259397
1.428619,4.519511,-0.249964
1.325318,4.578791,-0.246652
1.216438,4.634055,-0.252307
1.10589,4.681712,-0.252915
0.991257,4.718119,-0.238674
0.886059,4.739597,-0.221233
0.778123,4.751234,-0.220385
0.666661,4.751473,-0.232464
0.552525,4.747472,-0.247043
0.436831,4.732045,-0.249744
0.316681,4.705489,-0.243011
0.202961,4.662928,-0.239685
0.094828,4.60682,-0.247316
-0.011287,4.542403,-0.253087
-0.112727,4.473455,-0.248518
-0.216442,4.405479,-0.2383
-0.320299,4.334662,-0.232663
-0.429303,4.261622,-0.240349
-0.541864,4.18135,-0.256548
-0.649741,4.097694,-0.261479
-0.753564,4.008167,-0.245606
-0.847695,3.911298,-0.229002
-0.938708,3.811208,-0.227496
-1.021656,3.709868,-0.230381
-1.100692,3.608226,-0.227503
-1.178493,3.509084,-0.220787
-1.255619,3.409871,-0.214185
-1.339379,3.310148,-0.222009
-1.431156,3.205574,-0.236843
-1.519117,3.099288,-0.239918
-1.604148,2.991586,-0.225249
-1.676882,2.884941,-0.213474
-1.752976,2.773072,-0.212277
-1.825284,2.659294,-0.217429
-1.890435,2.545698,-0.214161
-1.950789,2.437592,-0.199718
-2.009648,2.333033,-0.192977
-2.077219,2.227152,-0.201103
-2.141394,2.112952,-0.217279
-2.199069,2.000048,-0.223241
-2.254574,1.879982,-0.210761
-2.301203,1.75501,-0.201148
-2.33857,1.631228,-0.20308
-2.36411,1.504973,-0.206987
-2.359758,1.350441,-0.20649
-2.364321,1.225699,-0.194736
-2.359981,1.10573,-0.18659
-2.356748,0.980803,-0.194081
-2.347743,0.846814,-0.211022
-2.331588,0.713581,-0.220498
-2.305714,0.586558,-0.21408
-2.264584,0.468144,-0.20618
-2.219027,0.356491,-0.201684
-2.160464,0.256664,-0.201493
-2.094709,0.168948,-0.202452
-2.021623,0.081209,-0.19621
-1.948789,-2.3e-05,-0.180844
-1.877008,-0.078109,-0.172601
-1.800861,-0.15849,-0.178545
-1.718075,-0.241226,-0.189485
-1.631955,-0.314817,-0.196759
-1.543685,-0.383788,-0.191333
-1.45798,-0.434156,-0.181732
-1.381948,-0.474604,-0.178353
-1.302122,-0.508657,-0.182852
-1.22431,-0.530646,-0.18802
-1.144209,-0.542822,-0.192564
-1.074135,-0.550514,-0.18738
-1.01352,-0.556939,-0.182336
-0.95951,-0.561761,-0.18498
-0.907274,-0.558727,-0.193873
-0.857638,-0.55417,-0.210773
-0.805918,-0.553792,-0.229712
-0.750394,-0.551571,-0.246507
-0.696009,-0.54617,-0.265508
-0.645433,-0.539286,-0.287524
-0.613685,-0.538966,-0.307293
-0.59255,-0.539939,-0.336113
-0.580445,-0.546552,-0.37054
-0.57368,-0.568426,-0.403517
-0.564973,-0.596932,-0.416166
-0.560419,-0.620487,-0.411925
-0.56372,-0.650458,-0.410738
-0.562649,-0.664193,-0.413186
-0.563743,-0.67597,-0.414916
-0.568294,-0.678868,-0.420835
-0.571855,-0.673769,-0.42687
-0.570732,-0.666181,-0.43055
-0.563148,-0.651749,-0.434612
-0.559689,-0.637363,-0.434553
